2026-04-04 11:30:11 | INFO    | ============================================================
2026-04-04 11:30:11 | INFO    | BACKTEST  BTC  30d  started 2026-04-04T04:30:11.860241+00:00
2026-04-04 11:30:11 | INFO    | ============================================================
2026-04-04 11:30:11 | INFO    | Fetching BTC data for 30 days...
2026-04-04 11:30:30 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=69247.5 SL=69801.48 TP=68278.0375 R:R=1.75 | mode=VOLATILE_RANGE score=5
2026-04-04 11:30:30 | INFO    |   CLOSE SL | SELL BTC | entry=69247.5 exit=69801.48 pnl=-4.00% (-4.00 USDT) | bal=10007
2026-04-04 11:30:30 | INFO    |   OPEN SELL BTC | setup=bearish_engulfing entry=70410.5 SL=70973.784 TP=69534.4105 R:R=1.56 | mode=VOLATILE_RANGE score=6
2026-04-04 11:30:30 | INFO    |   CLOSE SL | SELL BTC | entry=70410.5 exit=70973.784 pnl=-4.00% (-4.00 USDT) | bal=10003
2026-04-04 11:30:30 | INFO    |   OPEN SELL BTC | setup=bearish_engulfing entry=70721.0 SL=71106.8025 TP=70142.2962 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:30:30 | INFO    |   CLOSE TP | SELL BTC | entry=70721.0 exit=70142.2962 pnl=+4.09% (+4.09 USDT) | bal=10007
2026-04-04 11:30:30 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=70150.0 SL=69917.325 TP=70499.0125 R:R=1.5 | mode=VOLATILE_RANGE score=6
2026-04-04 11:30:30 | INFO    |   CLOSE SL | BUY BTC | entry=70150.0 exit=69917.325 pnl=-1.66% (-1.66 USDT) | bal=10006
2026-04-04 11:30:32 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=69455.0 SL=69130.1625 TP=69942.2562 R:R=1.5 | mode=VOLATILE_RANGE score=5
2026-04-04 11:30:32 | INFO    |   CLOSE TP | BUY BTC | entry=69455.0 exit=69942.2562 pnl=+3.51% (+3.51 USDT) | bal=10009
2026-04-04 11:30:32 | INFO    |   Progress 2160/8640 (25%) | balance=10009 trades=27
2026-04-04 11:30:33 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=69983.1 SL=70208.8577 TP=69644.4634 R:R=1.5 | mode=VOLATILE_RANGE score=4
2026-04-04 11:30:33 | INFO    |   CLOSE SL | SELL BTC | entry=69983.1 exit=70208.8577 pnl=-1.61% (-1.61 USDT) | bal=10008
2026-04-04 11:30:34 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=71540.6 SL=71917.4515 TP=70975.3227 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:30:34 | INFO    |   CLOSE TP | SELL BTC | entry=71540.6 exit=70975.3227 pnl=+3.95% (+3.95 USDT) | bal=10012
2026-04-04 11:30:34 | INFO    |   OPEN SELL BTC | setup=bearish_pinbar entry=71120.9 SL=71392.0022 TP=70714.2466 R:R=1.5 | mode=VOLATILE_RANGE score=4
2026-04-04 11:30:34 | INFO    |   CLOSE SL | SELL BTC | entry=71120.9 exit=71392.0022 pnl=-1.91% (-1.91 USDT) | bal=10010
2026-04-04 11:30:34 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=71298.6 SL=71021.7535 TP=71713.8698 R:R=1.5 | mode=UPTREND score=3
2026-04-04 11:30:34 | INFO    |   CLOSE TP | BUY BTC | entry=71298.6 exit=71713.8698 pnl=+2.91% (+2.92 USDT) | bal=10013
2026-04-04 11:30:34 | INFO    |   OPEN BUY BTC | setup=bullish_engulfing entry=72220.4 SL=71910.849 TP=72684.7265 R:R=1.5 | mode=UPTREND score=6
2026-04-04 11:30:34 | INFO    |   CLOSE TP | BUY BTC | entry=72220.4 exit=72684.7265 pnl=+3.21% (+3.22 USDT) | bal=10016
2026-04-04 11:30:34 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=73151.6 SL=72787.121 TP=73698.3185 R:R=1.5 | mode=UPTREND score=6
2026-04-04 11:30:34 | INFO    |   CLOSE SL | BUY BTC | entry=73151.6 exit=72787.121 pnl=-2.49% (-2.50 USDT) | bal=10013
2026-04-04 11:30:34 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=73496.9 SL=73120.7578 TP=74061.1134 R:R=1.5 | mode=UPTREND score=6
2026-04-04 11:30:34 | INFO    |   CLOSE SL | BUY BTC | entry=73496.9 exit=73120.7578 pnl=-2.56% (-2.56 USDT) | bal=10011
2026-04-04 11:30:35 | INFO    |   OPEN BUY BTC | setup=bullish_engulfing entry=71167.2 SL=70785.082 TP=71740.377 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:30:35 | INFO    |   CLOSE SL | BUY BTC | entry=71167.2 exit=70785.082 pnl=-2.68% (-2.69 USDT) | bal=10008
2026-04-04 11:30:35 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=70850.6 SL=70642.3735 TP=71162.9398 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:30:35 | INFO    |   CLOSE SL | BUY BTC | entry=70850.6 exit=70642.3735 pnl=-1.47% (-1.47 USDT) | bal=10007
2026-04-04 11:30:35 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=71050.0 SL=70849.375 TP=71350.9375 R:R=1.5 | mode=UPTREND score=4
2026-04-04 11:30:35 | INFO    |   Progress 2592/8640 (30%) | balance=10007 trades=36
2026-04-04 11:30:35 | INFO    |   CLOSE SL | BUY BTC | entry=71050.0 exit=70849.375 pnl=-1.41% (-1.41 USDT) | bal=10005
2026-04-04 11:30:36 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=70870.4 SL=70664.524 TP=71179.214 R:R=1.5 | mode=SIDEWAY score=3
2026-04-04 11:30:36 | INFO    |   CLOSE SL | BUY BTC | entry=70870.4 exit=70664.524 pnl=-1.45% (-1.45 USDT) | bal=10004
2026-04-04 11:30:40 | INFO    |   Progress 3024/8640 (35%) | balance=10004 trades=38
2026-04-04 11:30:42 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=73655.5 SL=73367.0612 TP=74088.1581 R:R=1.5 | mode=UPTREND score=5
2026-04-04 11:30:42 | INFO    |   CLOSE TP | BUY BTC | entry=73655.5 exit=74088.1581 pnl=+2.94% (+2.94 USDT) | bal=10007
2026-04-04 11:30:44 | INFO    |   OPEN BUY BTC | setup=bullish_engulfing entry=73940.5 SL=73686.7487 TP=74321.1269 R:R=1.5 | mode=UPTREND score=3
2026-04-04 11:30:44 | INFO    |   CLOSE TP | BUY BTC | entry=73940.5 exit=74321.1269 pnl=+2.57% (+2.58 USDT) | bal=10009
2026-04-04 11:30:44 | INFO    |   OPEN BUY BTC | setup=bullish_engulfing entry=74434.5 SL=74025.3138 TP=75048.2794 R:R=1.5 | mode=UPTREND score=5
2026-04-04 11:30:44 | INFO    |   CLOSE TP | BUY BTC | entry=74434.5 exit=75048.2794 pnl=+4.12% (+4.13 USDT) | bal=10013
2026-04-04 11:30:45 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=74999.3 SL=74691.9017 TP=75460.3974 R:R=1.5 | mode=UPTREND score=3
2026-04-04 11:30:45 | INFO    |   CLOSE TP | BUY BTC | entry=74999.3 exit=75460.3974 pnl=+3.07% (+3.08 USDT) | bal=10016
2026-04-04 11:30:45 | INFO    |   OPEN BUY BTC | setup=bullish_pinbar entry=75851.9 SL=75552.2703 TP=76301.3446 R:R=1.5 | mode=UPTREND score=3
2026-04-04 11:30:45 | INFO    |   CLOSE SL | BUY BTC | entry=75851.9 exit=75552.2703 pnl=-1.98% (-1.98 USDT) | bal=10014
2026-04-04 11:30:45 | INFO    |   OPEN BUY BTC | setup=bullish_engulfing entry=75584.7 SL=75270.9382 TP=76055.3426 R:R=1.5 | mode=UPTREND score=3
2026-04-04 11:30:45 | INFO    |   CLOSE SL | BUY BTC | entry=75584.7 exit=75270.9382 pnl=-2.08% (-2.08 USDT) | bal=10012
2026-04-04 11:30:45 | INFO    |   Progress 3456/8640 (40%) | balance=10012 trades=44
2026-04-04 11:30:45 | INFO    |   OPEN BUY BTC | setup=bullish_engulfing entry=73984.8 SL=73740.638 TP=74351.043 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:30:45 | INFO    |   CLOSE TP | BUY BTC | entry=73984.8 exit=74351.043 pnl=+2.48% (+2.48 USDT) | bal=10015
2026-04-04 11:30:45 | INFO    |   OPEN BUY BTC | setup=bullish_engulfing entry=74357.1 SL=74094.1073 TP=74751.5891 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:30:45 | INFO    |   CLOSE SL | BUY BTC | entry=74357.1 exit=74094.1073 pnl=-1.77% (-1.77 USDT) | bal=10013
2026-04-04 11:30:45 | INFO    |   OPEN BUY BTC | setup=bullish_engulfing entry=74355.3 SL=73978.9117 TP=74919.8824 R:R=1.5 | mode=VOLATILE_RANGE score=3
2026-04-04 11:30:45 | INFO    |   CLOSE SL | BUY BTC | entry=74355.3 exit=73978.9117 pnl=-2.53% (-2.53 USDT) | bal=10011
