signal,entry,sl,tp,rr,setup,open_ts,mode,score,h1_trend,outcome,exit_price,exit_ts,pnl_pct,pnl_usdt,balance,held_min
SELL,67092.9,67264.3858,66813.22,1.63,setup_E_bb_mean_reversion,2026-02-19T06:15:00+00:00,SIDEWAY,4,SIDEWAY,SL,67264.3858,2026-02-19T06:30:00+00:00,-1.278,-1.28,9980.45,15.0
BUY,66483.9,66298.1322,66808.395,1.75,setup_E_bb_mean_reversion,2026-02-19T11:50:00+00:00,SIDEWAY,4,SIDEWAY,SL,66298.1322,2026-02-19T12:05:00+00:00,-1.397,-1.39,9979.05,15.0
SELL,65882.5,66166.0063,65457.2406,1.5,bearish_engulfing,2026-02-19T14:15:00+00:00,DOWNTREND,3,DOWNTREND,SL,66166.0063,2026-02-19T14:35:00+00:00,-2.152,-2.15,9976.91,20.0
SELL,66969.0,67214.7225,66600.4162,1.5,bearish_engulfing,2026-02-19T20:05:00+00:00,VOLATILE_RANGE,3,DOWNTREND,SL,67214.7225,2026-02-20T00:15:00+00:00,-1.835,-1.83,9975.07,250.0
SELL,67868.5,68010.537,67283.445,4.12,setup_E_bb_mean_reversion,2026-02-20T05:30:00+00:00,SIDEWAY,4,SIDEWAY,SL,68010.537,2026-02-20T09:00:00+00:00,-1.046,-1.04,9974.03,210.0
BUY,67417.7,67255.2646,67954.655,3.31,setup_E_bb_mean_reversion,2026-02-20T11:40:00+00:00,SIDEWAY,4,SIDEWAY,SL,67255.2646,2026-02-20T11:55:00+00:00,-1.205,-1.2,9972.83,15.0
BUY,66849.4,66666.0012,67287.21,2.39,setup_E_bb_mean_reversion,2026-02-20T13:30:00+00:00,SIDEWAY,4,SIDEWAY,SL,66666.0012,2026-02-20T13:35:00+00:00,-1.372,-1.37,9971.46,5.0
BUY,66600.0,66274.9,67209.905,1.88,setup_E_bb_mean_reversion,2026-02-20T13:40:00+00:00,SIDEWAY,4,SIDEWAY,TP,67209.905,2026-02-20T14:35:00+00:00,4.579,4.57,9976.03,55.0
SELL,67589.9,67928.8747,67081.4379,1.5,bearish_engulfing,2026-02-20T16:15:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,TP,67081.4379,2026-02-20T17:10:00+00:00,3.761,3.75,9979.78,55.0
SELL,67572.5,67968.9312,66977.8531,1.5,bearish_pinbar,2026-02-20T18:05:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,SL,67968.9312,2026-02-20T18:30:00+00:00,-2.933,-2.93,9976.85,25.0
SELL,67727.6,67983.119,67344.3215,1.5,bearish_pinbar,2026-02-20T19:35:00+00:00,VOLATILE_RANGE,3,VOLATILE_RANGE,SL,67983.119,2026-02-20T22:20:00+00:00,-1.886,-1.88,9974.97,165.0
SELL,68242.7,68386.3854,67938.765,2.12,setup_E_bb_mean_reversion,2026-02-21T09:20:00+00:00,SIDEWAY,4,SIDEWAY,TP,67938.765,2026-02-21T12:10:00+00:00,2.227,2.22,9977.19,170.0
SELL,68504.5,68669.409,68233.515,1.64,setup_E_bb_mean_reversion,2026-02-21T14:35:00+00:00,SIDEWAY,4,SIDEWAY,SL,68669.409,2026-02-21T15:40:00+00:00,-1.204,-1.2,9975.99,65.0
BUY,67914.5,67764.971,68208.335,1.97,setup_E_bb_mean_reversion,2026-02-21T23:00:00+00:00,SIDEWAY,3,SIDEWAY,SL,67764.971,2026-02-22T00:25:00+00:00,-1.101,-1.1,9974.89,85.0
BUY,67610.7,67460.4786,67933.965,2.15,setup_E_bb_mean_reversion,2026-02-22T13:35:00+00:00,SIDEWAY,4,SIDEWAY,SL,67460.4786,2026-02-22T14:05:00+00:00,-1.111,-1.11,9973.78,30.0
BUY,67232.3,67097.8354,67500.475,1.99,setup_E_bb_mean_reversion,2026-02-22T17:40:00+00:00,SIDEWAY,4,SIDEWAY,TP,67500.475,2026-02-22T21:30:00+00:00,1.994,1.99,9975.77,230.0
BUY,67273.3,67117.3534,67534.895,1.68,setup_E_bb_mean_reversion,2026-02-23T00:30:00+00:00,SIDEWAY,4,SIDEWAY,SL,67117.3534,2026-02-23T00:45:00+00:00,-1.159,-1.16,9974.62,15.0
